2025-12-25 15:31:44,048 - INFO - Usage log: Node 22 区域, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 460, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30117297172546387}
2025-12-25 15:31:44,048 - INFO - Usage log: Node 112, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 454, 'total_tokens': 469, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24093890190124512}
2025-12-25 15:31:44,049 - INFO - Usage log: Node XC91, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 472, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.31212472915649414}
2025-12-25 15:31:44,049 - INFO - Usage log: Node DU061, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 472, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2583615779876709}
2025-12-25 15:31:44,050 - INFO - Usage log: Node AA102, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 472, 'total_tokens': 492, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26831793785095215}
2025-12-25 15:31:44,050 - INFO - Usage log: Node 设备 AP022, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 477, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2742917537689209}
2025-12-25 15:31:44,713 - INFO - Usage log: Node 10MBY10DU061XQ01, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 486, 'total_tokens': 509, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3315393924713135}
2025-12-25 15:31:44,714 - INFO - Usage log: Node 测点SGC.CHANGXING_1.10MAD13CT014A232203OUT, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 478, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29768848419189453}
2025-12-25 15:31:44,714 - INFO - Usage log: Node 测点SGC.YIXING_1.10MAA50EZ621_XK94, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 474, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29221272468566895}
2025-12-25 15:31:44,715 - INFO - Usage log: Node MAA 主系统, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 471, 'total_tokens': 492, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3534431457519531}
2025-12-25 15:31:44,716 - INFO - Usage log: Node 01LAC20BG113, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 477, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3205873966217041}
2025-12-25 15:31:44,716 - INFO - Usage log: Node 测点SGC.SIHUI_2.20MBA26CT108AXQ01, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 472, 'total_tokens': 487, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24840521812438965}
2025-12-25 15:31:44,716 - INFO - Usage log: Node MBV 主系统, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 474, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2663264274597168}
2025-12-25 15:31:44,717 - INFO - Usage log: Node FENGQUAN_1 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 476, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2792696952819824}
2025-12-25 15:31:44,717 - INFO - Usage log: Node XQ01, completion_usage: {'completion_tokens': 24, 'prompt_tokens': 473, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3454782962799072}
2025-12-25 15:31:44,718 - INFO - Usage log: Node 设备 CT108, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 463, 'total_tokens': 482, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2952001094818115}
2025-12-25 15:31:44,719 - INFO - Usage log: Node AA, completion_usage: {'completion_tokens': 24, 'prompt_tokens': 472, 'total_tokens': 496, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3434867858886719}
2025-12-25 15:31:44,720 - INFO - Usage log: Node DANYANG_2 电厂, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 472, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2902212142944336}
2025-12-25 15:31:44,720 - INFO - Usage log: Node 设备 AH001, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 463, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2633399963378906}
